source_system,validation_mode,curve_family,execution_month,target_tenor_months,target_tenor_label,trade_count,unique_trade_ids,median_rate_pct,mean_rate_pct,notional_weighted_avg_rate_pct,notional_weighted_avg_rate_decimal,min_rate_pct,max_rate_pct,median_notional_usd,total_notional_usd
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,2025-12,12,1Y,6,6,2.35,2.543458333333333,2.526221393034826,0.0252622139303482,2.278,3.43375,4000000.0,20100000.0
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,2025-12,24,2Y,9,9,2.589,2.6250222222222224,2.579478625954198,0.0257947862595419,2.3202,2.9152,1000000.0,13100000.0
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,2025-12,36,3Y,6,6,2.8348500000000003,2.788966666666667,2.785450750750751,0.0278545075075075,2.5952,2.9242,1200000.0,9990000.0
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,2025-12,48,4Y,5,5,2.3964,2.36726,2.3263583333333333,0.0232635833333333,2.3068,2.3964,280000.0,9600000.0
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,2025-12,60,5Y,148,148,2.58825,2.57026325,2.530810683198679,0.0253081068319867,2.3,2.7505,1000000.0,238994900.0
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,2025-12,84,7Y,1,1,2.3727,2.3727,2.3727,0.023727,2.3727,2.3727,450000.0,450000.0
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,2025-12,120,10Y,108,108,2.5,2.480679611111111,2.4469762978850165,0.0244697629788501,2.3765,2.62,1000000.0,167850000.0
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,2025-12,180,15Y,2,2,2.4924,2.4924,2.478428571428572,0.0247842857142857,2.4598,2.525,3500000.0,7000000.0
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,2025-12,240,20Y,2,2,2.4267,2.4267,2.4267,0.0242669999999999,2.4267,2.4267,530000.0,1060000.0
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,2025-12,324,27Y,2,2,2.4409,2.4409,2.4409,0.024409,2.4409,2.4409,5000000.0,10000000.0
