source_system,validation_mode,curve_family,index_family,underlier_name,target_tenor_months,target_tenor_label,target_tenor_years_exact,execution_timestamp_utc,execution_month,effective_date,expiration_date,observed_rate_pct,observed_rate_decimal,notional_usd,swap_format,cpi_lag_months,index_convention,platform_identifier,cleared_flag,dtcc_dissemination_identifier,source_file
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,US CPI-U,USA CPI-U,360,30Y,29.998631,2025-12-10T20:59:15Z,2025-12,2025-09-30,2055-09-30,2.4473,0.024473,5000000.0,ZCIS,3,Zero-coupon inflation swap vs USA CPI-U,BILT,N,1423307965000003601,December_CFTC_121744.zip
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,US CPI-U,USA CPI-U,360,30Y,29.998631,2025-12-10T20:59:15Z,2025-12,2025-09-30,2055-09-30,2.4473,0.024473,5000000.0,ZCIS,3,Zero-coupon inflation swap vs USA CPI-U,BILT,I,1428292044000000101,December_CFTC_121744.zip
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,US CPI-U,USA CPI-U,324,27Y,27.000684,2025-12-10T21:02:28Z,2025-12,2025-09-30,2052-09-30,2.4409,0.024409,5000000.0,ZCIS,3,Zero-coupon inflation swap vs USA CPI-U,BILT,N,1423307945000001601,December_CFTC_121744.zip
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,US CPI-U,USA CPI-U,324,27Y,27.000684,2025-12-10T21:02:28Z,2025-12,2025-09-30,2052-09-30,2.4409,0.024409,5000000.0,ZCIS,3,Zero-coupon inflation swap vs USA CPI-U,BILT,I,1428282302000001201,December_CFTC_121744.zip
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,US CPI-U,USA CPI-U,120,10Y,9.998631,2025-12-11T17:52:10Z,2025-12,2025-12-15,2035-12-15,2.4462,0.024462,3000000.0,YYIS,3,Year-on-year inflation swap vs USA CPI-U,TWSF,I,1415083476000000401,December_CFTC_121744.zip
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,US CPI-U,USA CPI-U,360,30Y,29.998631,2025-12-11T19:26:56Z,2025-12,2025-12-15,2055-12-15,2.439,0.02439,5000000.0,YYIS,3,Year-on-year inflation swap vs USA CPI-U,TWSF,I,1415684275000000101,December_CFTC_121744.zip
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,US CPI-U,USA CPI-U,360,30Y,29.998631,2025-12-11T19:39:20Z,2025-12,2025-12-09,2055-12-09,2.4325,0.024325,3000000.0,YYIS,3,Year-on-year inflation swap vs USA CPI-U,TWSF,I,1415697922000000201,December_CFTC_121744.zip
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,US CPI-U,USA CPI-U,360,30Y,29.998631,2025-12-11T19:39:20Z,2025-12,2025-12-15,2055-12-15,2.439,0.02439,5000000.0,YYIS,3,Year-on-year inflation swap vs USA CPI-U,TWSF,I,1415697924000000401,December_CFTC_121744.zip
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,US CPI-U,USA CPI-U,120,10Y,9.998631,2025-12-11T19:41:26Z,2025-12,2025-12-01,2035-12-01,2.5,0.025,700000.0,YYIS,3,Year-on-year inflation swap vs USA CPI-U,TWSF,I,1415716776000000601,December_CFTC_121744.zip
DTCC_SDR_PUBLIC,TERM_RATE_PARITY,US_CPI_TERM,US CPI-U,USA CPI-U,120,10Y,9.998631,2025-12-11T19:41:26Z,2025-12,2025-12-01,2035-12-01,2.5,0.025,1000000.0,YYIS,3,Year-on-year inflation swap vs USA CPI-U,TWSF,I,1415716777000000701,December_CFTC_121744.zip
