dissemination_identifier,execution_timestamp_utc,execution_month,effective_date,expiration_date,tenor_days,tenor_months_rounded,tenor_years_exact,tenor_label,swap_format_inferred,fixed_rate_decimal,fixed_rate_pct,notional_usd,currency,underlier_name_norm,index_family_norm,cpi_lag_months_inferred,index_convention_inferred,source_file,platform_identifier,cleared
1423307965000003601,2025-12-10T20:59:15Z,2025-12,2025-09-30,2055-09-30,10957,360,29.998631,30Y,ZCIS,0.024473,2.4473,5000000.0,USD,USA CPI-U,US CPI-U,3,Zero-coupon inflation swap vs USA CPI-U,December_CFTC_121744.zip,BILT,N
1428292044000000101,2025-12-10T20:59:15Z,2025-12,2025-09-30,2055-09-30,10957,360,29.998631,30Y,ZCIS,0.024473,2.4473,5000000.0,USD,USA CPI-U,US CPI-U,3,Zero-coupon inflation swap vs USA CPI-U,December_CFTC_121744.zip,BILT,I
1423307945000001601,2025-12-10T21:02:28Z,2025-12,2025-09-30,2052-09-30,9862,324,27.000684,27Y,ZCIS,0.024409,2.4409,5000000.0,USD,USA CPI-U,US CPI-U,3,Zero-coupon inflation swap vs USA CPI-U,December_CFTC_121744.zip,BILT,N
1428282302000001201,2025-12-10T21:02:28Z,2025-12,2025-09-30,2052-09-30,9862,324,27.000684,27Y,ZCIS,0.024409,2.4409,5000000.0,USD,USA CPI-U,US CPI-U,3,Zero-coupon inflation swap vs USA CPI-U,December_CFTC_121744.zip,BILT,I
1415083476000000401,2025-12-11T17:52:10Z,2025-12,2025-12-15,2035-12-15,3652,120,9.998631,10Y,YYIS,0.024462,2.4462,3000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1415684275000000101,2025-12-11T19:26:56Z,2025-12,2025-12-15,2055-12-15,10957,360,29.998631,30Y,YYIS,0.02439,2.439,5000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1415697922000000201,2025-12-11T19:39:20Z,2025-12,2025-12-09,2055-12-09,10957,360,29.998631,30Y,YYIS,0.024325,2.4325,3000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1415697924000000401,2025-12-11T19:39:20Z,2025-12,2025-12-15,2055-12-15,10957,360,29.998631,30Y,YYIS,0.02439,2.439,5000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1415716776000000601,2025-12-11T19:41:26Z,2025-12,2025-12-01,2035-12-01,3652,120,9.998631,10Y,YYIS,0.025,2.5,700000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
1415716777000000701,2025-12-11T19:41:26Z,2025-12,2025-12-01,2035-12-01,3652,120,9.998631,10Y,YYIS,0.025,2.5,1000000.0,USD,USA CPI-U,US CPI-U,3,Year-on-year inflation swap vs USA CPI-U,December_CFTC_121744.zip,TWSF,I
